marsanB,bout chat marsan blanc,vinBlanc,0.0
baumeB,bout dom baume blanc,vinBlanc,0.0
haussB,bout haussmann blanc,vinBlanc,0.0
luisEsB,bout luis esch blanc,vinBlanc,0.0
marBernB,bout marquis bern blanc,vinBlanc,0.0
monbazB,bout monbazillac blanc,vinBlanc,0.0
rocheMazB,bout roche mazet blanc,vinBlanc,0.0
taraniB,bout tarani blanc,vinBlanc,15000.0
cremAlsM,bou crément Alsace mousseux,vinMousseux,0.0
jourSpB,bout journée spéciale blanc,vinMousseux,0.0
jourSpRo,bout journée spéciale rosée,vinMousseux,12000.0
jpB,bout jp chenet blanc,vinMousseux,12000.0
jpRo,bout jp chenet rosé,vinMousseux,12000.0
musca,bout muscador mousseux,vinMousseux,0.0
martiPeRo,bout martini pétillant rosé,vinMousseux,20000.0
chastSauvB,bout chastagnac Sauvignon blanc,vinBlanc,0.0
chastSyRo,bout chastagnac syrah rosé,vinRosé,0.0
rocheMazRo,bout roche mazet rosé,vinRosé,0.0
taraniRo,bout tarani rosé,vinRosé,0.0
bordEru,bout bordeaux sup eru rouge,vinRouge,0.0
calvetRes,bout calvet grde reserve rouge,vinRouge,0.0
chatCol,bout chateau colombier rouge,vinRouge,0.0
chatFer,bout chateau ferrande rouge,vinRouge,0.0
chatMartin,bout chateau haut st martin rouge,vinRouge,0.0
marsanR,bout chateau marsan rouge,vinRouge,0.0
calend,bout les calendières vin rosé,vinRosé,0.0
baumeR,bout domaine de la baume rouge,vinRouge,0.0
oustric,bout domaine oustric rouge,vinRouge,0.0
fiolePap,bout fiole pape rouge,vinRouge,0.0
gPalais,bout grand palais rouge,vinRouge,0.0
gPuch,bout grand puch rouge,vinRouge,0.0
haussR,bout haussmann rouge,vinRouge,0.0
balast,bout haut balastard rouge,vinRouge,0.0
chretR,bout chretienne rouge,vinRouge,12000.0
chretMerl,bout chretienne merlot rouge,vinRouge,0.0
grandNoir,bout le grd noir ,vinRouge,25000.0
noirMerl,bout le grd noir merlot rouge,vinRouge,25000.0
hMedoc,bout le haut medoc rouge,vinRouge,0.0
luisEsR,bout luis eschenauer rouge,vinRouge,0.0
bouey,bout maison bouey rouge,vinRouge,0.0
malesan,bout malesan bordeau rouge,vinRouge,0.0
monsBord,bout monsieur bordeaux rouge,vinRouge,0.0
moutCadRes,bout mouton cadet reserve,vinRouge,0.0
moutCadNor,bout mouton cadet normal rouge,vinRouge,20000.0
sagesse,bout sagesse rouge,vinRouge,0.0
rocheMazR,bout roche mazet rouge,vinRouge,0.0
mazMerl,bout roche mazet merlot rouge,vinRouge,0.0
mazSauv,bout roche mazet sauv rouge,vinRouge,0.0
marBois,bout marquis bois rouge,vinRouge,0.0
armEmil,bout armes royales st emilion rouge,vinRouge,0.0
taraniR,bout tarani rouge,vinRouge,15000.0
aber,bout aberlour ,whisky,0.0
