TRAÇAGE

Fri 05 Jun 2020
> Thu 18 Jun 2020

DATE,ENREGISTREMENT

Thu 18 Jun 2020 (13:51),correction / coca / théorique : 0 / physique : 3.0 / base3
Thu 18 Jun 2020 (13:50),ajout article / coca / coca-cola 33cl / base3
Thu 18 Jun 2020 (12:57),correction / thé / théorique : 50 / physique : 48.0 / base3
Thu 18 Jun 2020 (12:57),achat n° 013 / lolo / 16 May 2020 / total : 4700 / base3
Thu 18 Jun 2020 (12:56),ajout article / thé / sachet de thé / base3
Thu 18 Jun 2020 (11:17),charge n° 007 / carburant / lolo / 12 Jun 2020 / montant : 6000 / base3
Thu 18 Jun 2020 (11:17),charge n° 016 / diversBar / erevan / 13 Jun 2020 / montant : 7000 / base3
Thu 18 Jun 2020 (11:16),charge n° 16 / diversBar / erevan / 13 jun 2020 / montant : 7000 / base3
Thu 18 Jun 2020 (11:15),charge n° 015 / carburant / lolo / 12 jun 2020 / montant : 6000 / base3
Thu 18 Jun 2020 (03:25),achat n° 013 / lolo / 16 may 2020 / total : 1500 / base3
Thu 18 Jun 2020 (03:24),achat n° 011 / erevan / 17 may 2020 / total : 2000 / base3
Thu 18 Jun 2020 (02:58),achat n° 010 / erevan / 3 jun 2020 / total : 1700 / base3
Thu 18 Jun 2020 (02:58),achat n° 009 / lolo / 1 jun 2020 / total : 2000 / base3
Thu 18 Jun 2020 (02:57),achat n° 008 / erevan / 12 jun 2020 / total : 2500 / base3
Thu 18 Jun 2020 (01:52),achat n° 006 / erevan / 15 jun 2020 / total : 1200 / base3
Wed 17 Jun 2020 (00:40),correction / café / théorique : 75 / physique : 82.0 / base3
Wed 17 Jun 2020 (00:38),vente  / 01 Jan 2020 / total : 2500 / base3
Tue 16 Jun 2020 (23:32),achat n° 005 / erevan / 12 Jun 2020 / total : 15000 / base3
Tue 16 Jun 2020 (20:23),achat n° 001 / erevan / 15 Jun 2020 / total : 20000 / base3
Tue 16 Jun 2020 (20:23),achat n° 002 / erevan / 14 Jun 2020 / total : 12500 / base3
Tue 16 Jun 2020 (20:23),achat n° 005 / erevan / 12 Jun 2020 / total : 15000 / base3
