BILAN ANNUEL 2020

baseX

Wed 01 Jan 2020
> Thu 31 Dec 2020

RÉSULTATS GLOBAUX

RECETTES,83000
ACHATS,39000
VARIATION DE STOCK,6935
MARGE BRUTE,25500
CHARGES,14000
RÉSULTAT NET,36935
MARGE NETTE,44%

VENTES SELON CATÉGORIE

ALCOOL
Quantité vendue,0
Recette,0
Marge brute,0

BOISSONCHAUDE
Quantité vendue,10
Recette,40000
Marge brute,38000

CUISINE
Quantité vendue,0
Recette,0
Marge brute,-25000

SODA
Quantité vendue,10
Recette,25000
Marge brute,12500

WHISKY
Quantité vendue,0
Recette,0
Marge brute,0

CHARGES SELON TYPE
carburant,14000
eau,0
éléctricité,0

VALEUR STOCK
Initial,16000
Final,22935

DÉTAILS STOCKS
CODE,INITIAL,PA,FINAL,PA

BOISSONCHAUDE
expres,40,400,55,417

SODA
coca,0,0,-6,1250
fanta,0,0,0,0
sprite,0,0,0,0
