DONNÉES,baseC

Sat 04 Jul 2020

ARTICLES INVENTORIÉS
CODE,DÉSIGNATION,,PV,MIN

BIÈRE
beni,beninoise 33cl,V,1500,0
bf,beaufort 33cl,V,1500,0
bièreNA,bière non alcoolisée 25cl,V,2000,0
cast,castel 33cl,V,1500,0
despe,desperados 33cl,V,2000,0
eku,eku 33cl,V,1500,0
grimbergen,grimbergen bière kriet,V,2000,0
gui,guinness 33cl,V,2000,0
hein25,heineken 25 cl,V,2000,0
lef25,leffe 25 cl,V,2000,0
panach25,panachee 25cl,V,2000,0
pils,pils 33cl,V,1500,0
skol,skol 33cl,V,2000,0

BOISSONCHAUDE
cafeCap,café en capsule,V,1000,0
cafeSac,sachet de café,V,1000,0
cappuccino,1 tasse de cappuccino,V,1500,0
lipton,1 sachet de lipton,V,0,0
théCitron,1 thé de citron,V,1500,0

CHAMPAGNE
affinity,champagne sans alcool,V,30000,0
champNA,champagne non alcoolisé,V,0,0
champNARo,champagne non alcoolisé rosé,V,0,0
fereix,champagne fereixnet prosecco,V,40000,0
lagaBrut1.5L,lagache brut M 1.5L,V,0,0
lagaBrutRes,lagache brut réservée ,V,0,0
lagaNatB,lagache nature blanc,V,0,0
lagaPrestD1.5L,lagache prestige d1.5L,V,0,0
lagaRo,lagache rosée,V,0,0
laurentPer,laurent perrier,V,0,0
lucBelFantome,bout luc bellaire fantome,V,60000,0
lucBelRo,luc bellaire rosé,V,0,0
moetB1.5L,moet brut 1.5L,V,0,0
moetBrut,moet brut simple,V,0,0
moetIceImp,moet ice impérial ,V,0,0
moetNect,moet chandon nectar,V,115000,0
moetNectRo,meot nectar Rosé,V,115000,0
moetNectar,bout moet c. nectar,V,80000,0
moetRo,moet rosé,V,0,0
princessFr,princesse de france,V,0,0
remyTresBrut,remy trésor brut,V,0,0
ruinBlBl,ruinart blanc de blanc,V,0,0
ruinBrut,ruinart brut,V,0,0
ruinRo,ruinart rosé,V,0,0
toso,toso,V,0,0
trouillard,champagne trouillard,V,60000,0
veuveClicot,veuve clicot,V,80000,0

CHICHA
chicha,chicha,V,0,0

CIGARE
cHabano,cigare cohiba habano,V,0,0
cHabanoCM,cigare habano cm,V,0,0
cHoyo,cigare cohiba hoyo,V,0,0

COCKTAIL
laitCoco,une boite de lait de coco,V,0,0

COGNAC
calvaVSOP,calvados vsop 70cl,V,0,0
camusVS,camus vs 70cl,V,0,0
camusVSOP,bout camus VSOP,V,70000,0
comteJoseph,comte Joseph,V,110000,0
comteJosephHA,comte Joseph Hors Age,V,120000,0
comteJosephVS,comte Joseph VS,V,55000,0
hennessyVS,hennessy vs 70cl,V,0,0
hennessyVS1L,bouteille d'un litre de hennessyVS ,V,70000,0
hennessyVSOP,hennessy vsop,V,60000,0
hennessyVSOP1L,hennessy vsop 1 L,V,135000,0
stRemyVSOP,saint remy vsop 70cl,V,0,0

CONSO
