TRAÇAGE

baseC1

Thu 25 Jun 2020
> Wed 08 Jul 2020

DATE,INFOS

Wed 08 Jul 2020 (17:57),édition,article,verreBW,verre à bière ou whisky,verreCasse
Wed 08 Jul 2020 (17:38),édition,achat 4859,erevan,total: 1000,30 Dec 2019
Wed 08 Jul 2020 (17:37),ajout,achat 4859,erevan,total: 200,30 dec 2019
Wed 08 Jul 2020 (17:26),suppression,vente,marcelline,total: 2000,30 Dec 2019
Wed 08 Jul 2020 (17:06),ajout,vente,marcelline,total: 2000,30 dec 2019
Tue 07 Jul 2020 (20:15),édition,achat A-001,erevan,total: 650,30 Dec 2019
Tue 07 Jul 2020 (20:13),édition,article,olives,olives pour bar,alimBar
Tue 07 Jul 2020 (20:09),édition,article,calvetRes,bout calvet grde reserve rouge,vinRouge
Tue 07 Jul 2020 (20:09),édition,article,chatGrandJardin,vin rouge chat grand jardin,vinRouge
Tue 07 Jul 2020 (20:09),édition,article,chatFerboy,chateau Ferboy,vinRouge
Tue 07 Jul 2020 (20:09),édition,article,chatFer,bout chateau ferrande rouge,vinRouge
Tue 07 Jul 2020 (20:09),édition,article,chatCol,bout chateau colombier rouge,vinRouge
Tue 07 Jul 2020 (20:09),édition,article,chatBelAir,chateau Bel Air,vinRouge
Tue 07 Jul 2020 (20:09),édition,article,chastSyRo,bout chastagnac syrah rosé,vinRosé
Tue 07 Jul 2020 (20:08),édition,article,chastSauvB,bout chastagnac Sauvignon bl,vinBlanc
Tue 07 Jul 2020 (20:08),édition,article,chastR,chastagnac cabernet sauvignon,vinRouge
Tue 07 Jul 2020 (20:07),édition,article,alexanderGreat,vin rouge alexander the great,vinRouge
Tue 07 Jul 2020 (20:07),édition,article,alloco,1 portion de alloco,cuisine
Tue 07 Jul 2020 (20:07),édition,article,alloco,1 portion de alloco,cuisine
Tue 07 Jul 2020 (19:56),édition,achat A-001,erevan,total: 5600,30 Dec 2019
Tue 07 Jul 2020 (19:51),édition,achat A-001,erevan,total: 5600,30 Dec 2019
Tue 07 Jul 2020 (19:49),ajout,article,diversBar,produits divers pour bar,divers
Tue 07 Jul 2020 (19:45),ajout,article,alimCuisine,aliments pour cuisiner,cuisine
Tue 07 Jul 2020 (17:06),édition,article,ben,bout benriach,whisky
Tue 07 Jul 2020 (17:05),édition,article,alexanderGreat,vin rouge alexander the great,vinRouge
Tue 07 Jul 2020 (17:05),édition,article,agbama,une portion de agbama,cuisine
Tue 07 Jul 2020 (17:05),édition,article,agbama,1 portion de agbama,cuisine
Tue 07 Jul 2020 (17:03),édition,article,beignetCrevet,Beignets de crevettes,cuisine
Tue 07 Jul 2020 (17:02),édition,article,beignetCrevet,Beignets de crevettes,cuisine
Tue 07 Jul 2020 (17:02),édition,article,filetPoissonSc,filet poisson sauce creme,cuisine
Tue 07 Jul 2020 (16:53),édition,article,atieke,atiéké une portion,cuisine
Tue 07 Jul 2020 (16:53),édition,article,atieke,atiéké 1 portion,cuisine
Tue 07 Jul 2020 (16:53),édition,article,atieke,atiéké 1 portion,cuisine
Tue 07 Jul 2020 (16:53),édition,article,beignetCrevet,Beignets de crevettes,cuisine
Tue 07 Jul 2020 (16:52),édition,article,beignetCrevet,"Beignets crevette, de",cuisine
Tue 07 Jul 2020 (16:52),édition,article,beignetCrevet,"Beignets crevette, de",cuisine
Tue 07 Jul 2020 (16:51),édition,article,beignetCrevet,"Beignets crevette, de",cuisine
Tue 07 Jul 2020 (16:51),édition,article,beignetCrevet,"Beignets crevette, de",cuisine
Tue 07 Jul 2020 (16:48),édition,article,assokui,sauce légume assokui,cuisine
Tue 07 Jul 2020 (16:48),édition,article,assokui,sauce légume assokui,cuisine
Tue 07 Jul 2020 (16:47),édition,article,assokui,sauce légume assokui,cuisine
Tue 07 Jul 2020 (16:05),suppression,achat 005,erevan,total: 10000,07 Jul 2020
Tue 07 Jul 2020 (16:05),suppression,achat 002,erevan,total: 6000,07 Jul 2020
Tue 07 Jul 2020 (16:04),suppression,vente,marcelline,total: 5000,05 Jul 2020
Tue 07 Jul 2020 (16:04),suppression,vente,marcelline,total: 5000,06 Jul 2020
Tue 07 Jul 2020 (16:04),suppression,vente,marcelline,total: 5000,07 Jul 2020
Tue 07 Jul 2020 (16:03),suppression,vente,marcelline,total: 5000,04 Jul 2020
Tue 07 Jul 2020 (16:03),suppression,achat A-001,erevan,total: 750,01 Jan 2020
Tue 07 Jul 2020 (16:02),édition,achat 002,erevan,total: 6000,07 Jul 2020
Tue 07 Jul 2020 (16:02),ajout,achat 005,erevan,total: 10000,07 Jul 2020
Tue 07 Jul 2020 (16:02),ajout,achat 002,erevan,total: 6000,07 Jul 2020
Tue 07 Jul 2020 (16:01),ajout,vente,marcelline,total: 5000,04 jul 2020
Tue 07 Jul 2020 (16:01),ajout,vente,marcelline,total: 5000,05 jul 2020
Tue 07 Jul 2020 (16:00),ajout,vente,marcelline,total: 5000,06 jul 2020
Tue 07 Jul 2020 (16:00),ajout,vente,marcelline,total: 5000,07 Jul 2020
Tue 07 Jul 2020 (15:52),correction,frite,"théorique: 2,5","physique: 2,5",
Tue 07 Jul 2020 (15:51),correction,frite,"théorique: 2,5","physique: 2,5",
Tue 07 Jul 2020 (15:51),correction,frite,"théorique: 2,5","physique: 2,5",
Tue 07 Jul 2020 (15:45),édition,article,filetBoeuf,1 portion de filet de boeuf,cuisine
Tue 07 Jul 2020 (09:32),correction,blancPoulet,théorique: 3,physique: 0,
Tue 07 Jul 2020 (09:25),correction,blancPoulet,théorique: 4,physique: 3,
Tue 07 Jul 2020 (08:00),édition,achat A-001,erevan,total: 750,01 Jan 2020
Tue 07 Jul 2020 (07:57),édition,achat A-001,erevan,total: 700,01 Jan 2020
Tue 07 Jul 2020 (07:34),ajout,achat A-001,erevan,total: 700,1 jan 2020
Tue 07 Jul 2020 (07:26),édition,article,willC,conso bout de william,conso
Tue 07 Jul 2020 (07:23),édition,article,cappuccino,1 tasse de cappuccino,boissonChaude
Tue 07 Jul 2020 (07:23),édition,article,armEmil,bout a-r st emilion rouge,vinRouge
Tue 07 Jul 2020 (07:23),édition,article,armEmil,bout a-r st emilion rouge,vinRouge
Tue 07 Jul 2020 (07:21),édition,article,alexanderGreat,vin rouge alexander the great,vinRouge
Mon 06 Jul 2020 (22:10),édition,charge T-001,erevan,montant: 500,30 Dec 2019
Mon 06 Jul 2020 (22:08),ajout,charge C-001,erevan,montant: 200,31 Dec 2019
Mon 06 Jul 2020 (22:07),ajout,charge T-001,erevan,montant: 500,30 Dec 2019
Mon 06 Jul 2020 (19:19),édition,article,assokui,sauce légume assokui,cuisine
Mon 06 Jul 2020 (18:59),ajout,article,alloco,1 portion de alloco,cuisine
Mon 06 Jul 2020 (17:06),ajout,vente,marcelline,total: 2000,31 dec 2019
Mon 06 Jul 2020 (16:11),édition,achat A-001,erevan,total: 600,30 Dec 2019
Mon 06 Jul 2020 (16:11),édition,achat A-002,erevan,total: 1300,31 Dec 2019
Mon 06 Jul 2020 (15:57),édition,achat A-001,erevan,total: 600,30 Dec 2019
Mon 06 Jul 2020 (15:56),ajout,achat A-002,erevan,total: 400,31 dec 2019
Mon 06 Jul 2020 (15:55),ajout,achat A-001,erevan,total: 200,30 dec 2019
Sun 05 Jul 2020 (14:08),édition,article,blackColaEnergy,black cola Energy drink,énergétique
Sun 05 Jul 2020 (14:07),édition,article,blackColaEnergy,black cola Energy drink,énergétique
Sun 05 Jul 2020 (14:07),édition,article,BlackColaEnergy,black cola Energy drink,énergétique
Sun 05 Jul 2020 (14:06),édition,article,get27,Get 27,diversAlcool
Sun 05 Jul 2020 (14:03),édition,article,dimpleC,conso AR de bout Dimple,whisky
Sun 05 Jul 2020 (14:03),édition,article,dimpleC,conso AR de bout Dimple,whisky
Sun 05 Jul 2020 (14:02),édition,article,filetBoeufSauP,filet de boeuf sauce piquante,cuisine
Sun 05 Jul 2020 (13:58),édition,article,escalopoulet,escalope de poulet,cuisine
Sun 05 Jul 2020 (13:58),édition,article,escaloPouletSC,escalope poulet sauce crême,cuisine
Sat 04 Jul 2020 (13:17),édition,article,chickenBurg,chicken burger,cuisine
Sat 04 Jul 2020 (13:17),édition,article,cheeseBurger,cheese burger,cuisine
Sat 04 Jul 2020 (13:17),édition,article,chawViande,chawarma de viande,cuisine
Sat 04 Jul 2020 (13:17),édition,article,chawTGV,chawarma tgv,cuisine
Sat 04 Jul 2020 (13:17),édition,article,chawPoulet,chawarma poulet,cuisine
Sat 04 Jul 2020 (13:16),édition,article,champagneV,une coupe de champagne,conso
Sat 04 Jul 2020 (13:16),édition,article,campariC,1/16 de campari 1L,conso
Sat 04 Jul 2020 (13:16),édition,article,broPoulet,1 brochette de poulet,cuisine
