DONNÉES;data2

Wed 13 Jan 2021

ARTICLES INVENTORIÉS
CODE;DÉSIGNATION;MIN;STOCK;PA;;PV

BIÈRE
bf;beaufort 33cl;0;0;0;V;1500
beni;beninoise 33cl;0;0;0;V;1500
cast;castel 33cl;0;0;0;V;1500
eku;eku 33cl;0;0;0;V;1500
gui;guinness 33cl;0;0;0;V;2000
pils;pils 33cl;0;0;0;V;1500
despe;desperados 33cl;0;0;0;V;2000
hein25;heineken 25 cl;0;0;0;V;2000
lef25;leffe 25 cl;0;0;0;V;2000
panach25;panachee 25cl;0;0;0;V;2000
bièreNA;bière non alcoolisée 25cl;0;0;0;V;2000
skol;skol 33cl;0;0;0;V;2000
grimbergen;grimbergen bière kriet;0;0;0;V;2000

BOISSONCHAUDE
cafeSac;sachet de café;0;0;0;V;1000
cafeCap;café en capsule;0;0;0;V;1000
lipton;1 sachet de lipton;0;0;0;V;0
théCitron;1 thé de citron;0;0;0;V;1500
cappuccino;1 tasse de cappuccino;0;0;0;V;1500

CHAMPAGNE
lagaBrut1.5L;lagache brut M 1.5L;0;0;0;V;0
lagaPrestD1.5L;lagache prestige d1.5L;0;0;0;V;0
moetB1.5L;moet brut 1.5L;0;0;0;V;0
lagaBrutRes;lagache brut réservée ;0;0;0;V;0
lagaNatB;lagache nature blanc;0;0;0;V;0
lagaRo;lagache rosée;0;0;0;V;0
laurentPer;laurent perrier;0;0;0;V;0
lucBelRo;luc bellaire rosé;0;0;0;V;0
moetBrut;moet brut simple;0;0;0;V;0
moetIceImp;moet ice impérial ;0;0;0;V;0
moetRo;moet rosé;0;0;0;V;0
toso;toso;0;0;0;V;0
princessFr;princesse de france;0;0;0;V;0
remyTresBrut;remy trésor brut;0;0;0;V;0
ruinBlBl;ruinart blanc de blanc;0;0;0;V;0
ruinRo;ruinart rosé;0;0;0;V;0
ruinBrut;ruinart brut;0;0;0;V;0
champNA;champagne non alcoolisé;0;0;0;V;0
champNARo;champagne non alcoolisé rosé;0;0;0;V;0
trouillard;champagne trouillard;0;0;0;V;60000
fereix;champagne fereixnet prosecco;0;0;0;V;40000
affinity;champagne sans alcool;0;0;0;V;30000
moetNectar;bout moet c. nectar;0;0;0;V;80000
lucBelFantome;bout luc bellaire fantome;0;0;0;V;60000
moetNect;moet chandon nectar;0;0;0;V;115000
moetNectRo;meot nectar Rosé;0;0;0;V;115000
veuveClicot;veuve clicot;0;0;0;V;80000

CHICHA
chicha;chicha;0;0;0;V;0

CIGARE
cHabano;cigare cohiba habano;0;0;0;V;0
cHabanoCM;cigare habano cm;0;0;0;V;0
cHoyo;cigare cohiba hoyo;0;0;0;V;0

COCKTAIL
laitCoco;une boite de lait de coco;0;0;0;V;0

COGNAC
calvaVSOP;calvados vsop 70cl;0;0;0;V;0
camusVS;camus vs 70cl;0;0;0;V;0
hennessyVS;hennessy vs 70cl;0;0;0;V;0
