INVENTAIRE;data6;;
;;;
Thu 25 Feb 2021;;;
;;;
CODE;DÉSIGNATION;TH.;PHYSIQUE
;;;
BIÈRE;;;
beni;beninoise 33cl;33;
bf;beaufort 33cl;71;
bièreNA;bière non alcoolisée 25cl;0;
cast;castel 33cl;0;
despe;desperados 33cl;165;
doppel;Doppel Munich Lager;0;
eku;eku 33cl;234;
grimbergen;grimbergen bière kriet;0;
gui;guinness 33cl;139;
hein25;heineken 25 cl;35;
lef25;leffe 25 cl;12;
panach25;panachee 25cl;0;
pils;pils 33cl;206;
skol;skol 33cl;0;
;;;
BOISSONCHAUDE;;;
cafeCap;café en capsule;44;
cafeSac;sachet de café;94;
cappuccino;1 tasse de cappuccino;8;
lipton;1 sachet de lipton;227;
théCitron;1 thé de citron;0;
;;;
CHAMPAGNE;;;
affinity;champagne sans alcool;0;
champNA;champagne non alcoolisé;0;
champNARo;champagne non alcoolisé rosé;0;
fereix;champagne fereixnet prosecco;0;
lagaBrut1.5L;lagache brut M 1.5L;0;
lagaBrutRes;lagache brut réservée ;0;
lagaNatB;lagache nature blanc;1;
lagaPrestD1.5L;lagache prestige d1.5L;0;
lagaRo;lagache rosée;1;
laurentPer;laurent perrier;0;
lucBelFantome;bout luc bellaire fantome;2;
lucBelRo;luc bellaire rosé;1;
moetB1.5L;moet brut 1.5L;0;
moetBrut;moet brut simple;0;
moetIceImp;moet ice impérial ;2;
moetNect;moet chandon nectar;1;
moetNectRo;meot nectar Rosé;3;
moetNectar;bout moet c. nectar;1;
moetRo;moet rosé;0;
princessFr;princesse de france;2;
remyTresBrut;remy trésor brut;3;
ruinBlBl;ruinart blanc de blanc;1;
ruinBrut;ruinart brut;0;
ruinRo;ruinart rosé;3;
toso;toso;0;
trouillard;champagne trouillard;1;
veuveClicot;veuve clicot;0;
;;;
CHICHA;;;
chicha;chicha;0;
;;;
CIGARE;;;
cHabano;cigare cohiba habano;2;
cHabanoCM;cigare habano cm;2;
cHoyo;cigare cohiba hoyo;0;
;;;
COCKTAIL;;;
laitCoco;une boite de lait de coco;1;
;;;
COGNAC;;;
calvaVSOP;calvados vsop 70cl;0;
camusVS;camus vs 70cl;3;
camusVSOP;bout camus VSOP;3;
comteJoseph;comte Joseph;0;
comteJosephHA;comte Joseph Hors Age;0;
comteJosephVS;comte Joseph VS;0;
hennessyVS;hennessy vs 70cl;7,29;
hennessyVS1L;bouteille 1L hennessyVS;0;
hennessyVSOP;hennessy vsop;5;
hennessyVSOP1L;hennessy vsop 1L;0;
stRemyVSOP;saint remy vsop 70cl;1,88;
;;;
CONSO;;;
jusCaraf;caraffe de jus;0;
verreMousCC;1/14 bout vin mousseux;0;
;;;
CUISINE;;;
agbama;une portion de agbama;0;
agneau;viande agneau sans os;15;
agneauOs;viande agneau avec os;46,5;
akassan;akassan;3;
atieke;atiéké une portion;0;
attieke;une portion de attieke;2;
blancPoulet;blanc de poulet une portion;30,5;
boeuf;1 portion de boeuf;0;
boyau;1 portion de boyau;86;
calamar;calamar une portion;0;
crabe;portion de crabe;79;
crevette;1 portion de crevette;106;
cuisPoulet;cuisse de poulet braisée;0;
darnePoisson;darne de poisson;46,5;
eminceP;un émince de poulet;0;
emincePoulet;emincée de poulet;0;
farineBle;farine de blé;0;
farinePatNoire;1 kg farine pate noire;0;
farinePateBlanc;farine pour pate blanche;19;
farineRouge;farine pour patte rouge;0;
filetBoeuf;1 portion de filet de boeuf;56;
filetPoisson;filet de poisson;0;
frite;1 portion de frites;386;
fromage;fromage en tranche;0;
gambas;1 portion de gambas;12;
gateauRiz;1 portion gateau de riz;3;
gesier;1 portion de gesier;1;
haricotV;haricot vert;0;
langueB;1 portion de langue de boeuf;3;
langueBoeuf;1 portion de langue de boeuf;45;
mais300G;maïs doux, boite de 300g;23,5;
maisDoux;1 portion de maïs doux;3;
merguez;1 portion merguez;130,5;
oeuf;un oeuf;1;
pain;pain pour soupe;0;
painChaw;1 portion de pain chawarma;10;
painHamb;1 portion de pain hamburger;6;
painSandw;1 portion de pain sandwich;0,5;
patRouge;portion de pate rouge;0;
pateRouge;pate rouge;0;
petitPois;1 portion de petit pois;4;
pintade;1 portion de pintade;0;
piron;plat de piron;0;
poisson;1 portion de poisson;102;
poissonFume;poisson fumé;39;
pommeKg;pomme en kg;0;
poulet;1 portion de poulet;66;
pouletBi;1 portie de poulet bicyclette;150,5;
pouletCuisse;cuisses de poulet ;0;
riz;1 portion de riz;208;
rizCant;1 portion de riz cantonais;0;
saladeFruit;plat salade de fruit;0;
sauceBlokoto;sauce de blokoto;0;
spagh;1 portion de spaghettis;18,25;
thon;1 portion de thon;9,5;
tilapiaG;poisson tilapia;0;
tilapiaM;poisson tilapia moyen;3;
viandeBro;1 portion de boeuf pour 1 brochette;0;
viandeChaw;viande pour chawarma;3;
viandeH;viande hachée une portion;104;
viandeNem;1 portion de viande pour nems;41;
wangache;1 portion de wangache;31;
;;;
DIVERSALCOOL;;;
absenta;absenta;8,65;
agavita;tequila agavita;0;
baileys;baileys;0;
bols;vodka bols 70cl;3;
boris;vodka boris;0;
bottega;liqueur bottega 70cl;0;
brizL;liqueur marie brizard mp;0;
campari;liqueur campari 1L;0;
cointreau;liqueur cointreau;4;
cointreau350;cointreau 350 cl;3;
diplomatico;rhum diplomatico;0;
disaronno;disaronno;1;
