ARTICLES;data6

Sat 12 Jun 2021

CODE;DÉSIGNATION;STOCK_MIN;STOCK;EN VENTE;PA;PV

BIÈRE
beni;beninoise 33cl;0;18;V;267;2000
bf;beaufort 33cl;0;266;V;333;2000
bièreNA;bière non alcoolisée 25cl;0;0;V;0;2000
cast;castel 33cl;0;123;V;315;2000
despe;desperados 33cl;0;97;V;792;2500
doppel;Doppel Munich Lager;0;65;V;400;2000
eku;eku 33cl;0;209;V;380;2000
grimbergen;grimbergen bière kriet;0;0;V;823;2000
gui;guinness 33cl;0;280;V;525;2500
hein25;heineken 25 cl;0;16;V;563;2500
lef25;leffe 25 cl;0;7;V;1115;2000
panach25;panachee 25cl;0;0;V;0;2000
pils;pils 33cl;0;171;V;290;2000
skol;skol 33cl;0;0;V;0;2000

BOISSONCHAUDE
cafeCap;café en capsule;0;22;V;336;1000
cafeSac;sachet de café;0;54;V;47;1000
cappuccino;1 tasse de cappuccino;0;4;V;315;1500
lipton;1 sachet de lipton;0;131;V;48;0
theCitron;thé lipton au citron;0;compo;V;48;1500
thé;un thé avec lipton;0;compo;V;48;1000
théCitron;1 thé de citron;0;0;V;0;1500
théTGV;thé spécial TGV;0;compo;V;147;2500

CHAMPAGNE
affinity;champagne sans alcool;0;0;V;0;30000
champNA;champagne non alcoolisé;0;0;V;0;30000
champNARo;champagne non alcoolisé rosé;0;0;V;0;0
fereix;champagne fereixnet prosecco;0;0;V;0;40000
lagaBrut1.5L;lagache brut M 1.5L;0;0;V;0;0
lagaBrutRes;lagache brut réservée ;0;0;V;0;50000
lagaNatB;lagache nature blanc;0;1;V;20000;80000
lagaPrestD1.5L;lagache prestige d1.5L;0;0;V;0;0
lagaRo;lagache rosée;0;1;V;20000;80000
laurentPer;laurent perrier;0;0;V;0;65000
lucBelFantome;bout luc bellaire fantome;0;2;V;24300;60000
lucBelRo;luc bellaire rosé;0;1;V;22757;65000
moetB1.5L;moet brut 1.5L;0;0;V;0;0
moetBrut;moet brut simple;0;0;V;0;65000
moetIceImp;moet ice impérial ;0;2;V;40650;120000
moetNect;moet chandon nectar;0;1;V;36000;115000
moetNectRo;meot nectar Rosé;0;3;V;41850;115000
moetNectar;bout moet c. nectar;0;1;V;39262;80000
moetRo;moet rosé;0;0;V;0;90000
princessFr;princesse de france;0;2;V;23500;60000
remyTresBrut;remy trésor brut;0;3;V;20000;50000
ruinBlBl;ruinart blanc de blanc;0;1;V;63625;150000
ruinBrut;ruinart brut;0;0;V;0;110000
ruinRo;ruinart rosé;0;3;V;46250;150000
toso;toso;0;0;V;0;0
trouillard;champagne trouillard;0;1;V;20000;60000
veuveClicot;veuve clicot;0;0;V;0;80000

CHICHA
chicha;chicha;0;0;V;0;0

CIGARE
cHabano;cigare cohiba habano;0;0;V;7500;5000
cHabanoCM;cigare habano cm;0;2;V;3299;0
