TRAÇAGE

baseK

Mon 31 May 2021
> Sun 13 Jun 2021

DATE;INFOS

Sun 13 Jun 2021 (17:51);correction;fanta;théorique: 6;physique: 5;
Sat 12 Jun 2021 (21:02);édition;vente;mar;total: 600;12 Jun 2021
Sat 12 Jun 2021 (21:01);édition;vente;mar;total: 1600;12 Jun 2021
Sat 12 Jun 2021 (20:35);ajout;vente;mar;total: 800;11 Jun 2021
Sat 12 Jun 2021 (20:34);édition;achat A1;erv;total: 2000;12 Jun 2021
Sat 12 Jun 2021 (20:34);ajout;article;mix;cocktail de soda;soda
Sat 12 Jun 2021 (20:32);ajout;article;fanta;bouteille 33cl;soda
Sat 12 Jun 2021 (20:09);édition;vente;mar;total: 600;12 Jun 2021
Sat 12 Jun 2021 (20:08);édition;vente;mar;total: 600;11 Jun 2021
Sat 12 Jun 2021 (20:04);édition;vente;mar;total: 600;11 Jun 2021
Sat 12 Jun 2021 (19:45);édition;vente;mar;total: 600;11 Jun 2021
Sat 12 Jun 2021 (19:44);édition;vente;mar;total: 600;12 Jun 2021
Sat 12 Jun 2021 (19:43);ajout;vente;mar;total: 600;12 Jun 2021
Sat 12 Jun 2021 (19:38);ajout;achat A1;erv;total: 1000;12 jun 2021
Sat 12 Jun 2021 (19:36);ajout;article;sprite;bouteille Sprite 33cl;soda
